id;account_id;json;account_jsonattribute_id;start_date;end_date
1;Central blue;../fake-data/blob/hipster.txt;system;2022-12-17;2022-12-17
2;Fish primary;../fake-data/blob/hipster.txt;archive payment Personal;2022-12-17;2022-12-16
3;Circle Colon withdrawal;../fake-data/blob/hipster.txt;Customer Steel;2022-12-16;2022-12-16
4;Computers;../fake-data/blob/hipster.txt;Bike;2022-12-17;2022-12-17
5;Keys transmit;../fake-data/blob/hipster.txt;streamline;2022-12-17;2022-12-16
6;lime Licensed;../fake-data/blob/hipster.txt;Response;2022-12-17;2022-12-17
7;Configurable wireless Grocery;../fake-data/blob/hipster.txt;Fresh;2022-12-17;2022-12-17
8;radical vortals;../fake-data/blob/hipster.txt;auxiliary;2022-12-17;2022-12-16
9;Hat;../fake-data/blob/hipster.txt;Burundi bandwidth;2022-12-17;2022-12-16
10;Creative card Principal;../fake-data/blob/hipster.txt;New open-source parsing;2022-12-16;2022-12-17
