id;account_set_id;name;super_set_id;path
1;Principal;Ergonomic Computers Personal;throughput;Officer haptic Consultant
2;Forint Clothing enhance;Reactive CSS Shirt;Object-based Coordinator up;AGP
3;override Money;connect circuit;indexing;e-business Beauty Wooden
4;infrastructures;Account navigate;architecture;Baby Wooden Fresh
5;Soft sky North;Fiji Investment;Bacon;Chips Peso Operations
6;Cambridgeshire;Cove;Account;Leone
7;salmon;Designer Credit;composite Mauritius parse;Security Mali Shirt
8;Berkshire York;Account firewall;Kwanza Principal;multimedia Towels
9;Car;group;synthesize Bedfordshire;Jewelery parsing Chair
10;Bacon;generate Kiribati;Account;Program bus
