id;account_set_id;account_id;start_date;end_date
1;task-force Corporate synergies;Money ROI Intelligent;2022-12-17;2022-12-17
2;purple;Wooden redundant Supervisor;2022-12-17;2022-12-17
3;aggregate Rustic bluetooth;cross-platform Salad York;2022-12-17;2022-12-16
4;monetize IB Delaware;Buckinghamshire;2022-12-16;2022-12-16
5;Dynamic hacking Soft;Savings GB HDD;2022-12-16;2022-12-16
6;Consultant synthesizing haptic;back-end;2022-12-16;2022-12-16
7;Pizza;Handmade Fish;2022-12-16;2022-12-17
8;virtual Vermont;e-business;2022-12-17;2022-12-17
9;Soft Industrial Franc;primary;2022-12-17;2022-12-17
10;RAM Bacon evolve;magenta;2022-12-16;2022-12-16
