id;privilege_set_id;privilege;rule_id
1;Fantastic;object-oriented SAS;Mills New
2;Account extensible;California;Legacy
3;bi-directional;access tertiary;Grocery executive Mobility
4;open input ADP;radical;Investment Credit Specialist
5;encryption;Data;back-end Soft
6;robust;maroon;olive capacitor
7;invoice Concrete harness;Berkshire;parsing
8;maroon;Rest invoice Inverse;Soft deposit
9;Bike alarm Future;card hard Handmade;gold Virginia Terrace
10;seize;local Gorgeous Horizontal;magenta Intelligent
