id;rule_account_set_predicate_id;rule_id;account_set_id;operator;predicate_operand
1;National West;up Product back;needs-based wireless Down-sized;Lao;Pines Generic
2;Account;Bedfordshire;maroon;Customer proactive;strategy functionalities
3;indexing;harness exploit Associate;Analyst Practical;Rest;backing
4;database;Rupee dot-com Anguilla;Chicken auxiliary Michigan;Security;Corner eyeballs Developer
5;Gorgeous parsing;Concrete Customer protocol;Rubber;Baby Concrete;value-added Bahraini Devolved
6;Branding;Front-line reinvent;quantify;compress;Chief
7;Account;Concrete Parkways;Gloves reboot;SDD Chair;copy Licensed Peso
8;Dominican Soft;synthesize Enhanced;Fantastic;payment;payment
9;drive;Web;synthesizing Strategist Berkshire;Refined;Sri
10;User-centric Account program;Internal North;Tajikistan;Automotive Customer;Down-sized withdrawal
